sold.,No.,ANGULO,AREA ,t,b,WEIGHT,Rx,Rz,Rw,Y=X,Ix=Iy,Q
0.125,1,1 X 1 X 0.109 ,0.206150412300825,0.109000000000000,1.000000000000000,0.701600585223116,0.306692913385827,0.196062992125984,0.370851204193947,0.290157480314961,0.019390619745651,1.000000000000000
0.125,2,1 X 1 X 0.125 ,0.234360468720937,0.125000000000000,1.000000000000000,0.797701048524750,0.304330708661417,0.195669291338583,0.384000000000000,0.295669291338583,0.021705805771336,1.000000000000000
0.125,3,1 1/4 X 1 1/4 X 0.109 ,0.260555521111042,0.109000000000000,1.250000000000000,0.887081199707389,0.387007874015748,0.246456692913386,0.485000000000000,0.352755905511811,0.039024727809980,0.978104560270399
0.125,4,1 1/4 X 1 1/4 X 0.125,0.296825593651187,0.125000000000000,1.250000000000000,1.010734942696900,0.384645669291339,0.245669291338583,0.485000000000000,0.358661417322835,0.043916026579806,1.000000000000000
0.125,5,1 1/2 X 1 1/2 X 0.109,0.315115630231260,0.109000000000000,1.500000000000000,1.072561814191660,0.467322834645669,0.297244094488189,0.587000000000000,0.415354330708661,0.068818301570356,0.905725472324479
0.125,6,1 1/2 X 1 1/2 X 0.125,0.359445718891438,0.125000000000000,1.500000000000000,1.229817117776150,0.465354330708661,0.296062992125984,0.587000000000000,0.421259842519685,0.077839642966161,0.961312611866946
0.125,7,1 1/2 X 1 1/2 X 0.138,0.394940789881580,0.138000000000000,1.500000000000000,1.340030236527680,0.463385826771654,0.295669291338583,0.587000000000000,0.425984251968504,0.084804223681856,0.996986061473683
0.125,8,1 1/2 X 1 1/2 X 0.156,0.443610887221774,0.156000000000000,1.500000000000000,1.511398195562060,0.461023622047244,0.294488188976378,0.583000000000000,0.432283464566929,0.094286291246338,1.000000000000000
0.1875,9,1 1/2 X 1 1/2 X 0.188,0.527311054622109,0.188000000000000,1.500000000000000,1.800371616678860,0.456692913385827,0.294488188976378,0.583000000000000,0.443700787401575,0.109980432001288,1.000000000000000
0.125,10,1 3/4 X 1 3/4 X 0.125,0.421910843821688,0.125000000000000,1.750000000000000,1.430082418922210,0.545669291338583,0.346850393700787,0.689000000000000,0.483858267716535,0.125626052969509,0.898198047178104
0.125,11,1 3/4 X 1 3/4 X 0.145,0.486545973091946,0.145000000000000,1.750000000000000,1.649836625213360,0.542913385826772,0.345669291338583,0.687000000000000,0.490944881889764,0.143411831300227,0.959136247567330
0.125,12,1 3/4 X 1 3/4 X 0.156,0.521731043462087,0.156000000000000,1.750000000000000,1.770130212143380,0.541338582677165,0.344881889763780,0.685000000000000,0.495275590551181,0.152891957660969,0.985992024982455
